id,Código,Nombre del Proveedor,Producto y/o Servicio
,PRO-01,LOGISTICA YACARE ,ARENA YVYCUI
,PRO-02,SANCHEZ WALDEMAR,ARENA RESISTENCIA
,PRO-03,HERMEN SRL,PIEDRA 6/19 - 10/30 - ARENA YVYCUI
,PRO-04,POTENCIAR SRL,PIEDRA 6/19 - 10/30 YOFRE - ARENA YVYCUI
,PRO-05,GARCIA,PIEDRA 6/19 - 10/30 YOFRE
,PRO-06,MORANTE,CEMENTO 
,PRO-07,HOLCIM,CEMENTO 
,PRO-08,SIKA S.A.,ADITIVOS
,PRO-09,MAPEI,ADITIVOS
,PRO-10,YPF ALABERT,GASOIL
,PRO-11,CDECHACO,LUBRICANTE (ACEITE - GRASA)
,PRO-12,TEKNOBOMBA S.A.,REPUESTOS Y CONSUMIBLES PARA BOMBAS HORMIGONERAS
,PRO-13,TECNUS S.R.L.,REPUESTOS PARA LA PLANTA DOSIFICADORA
,PRO-14,INDUMIX S.A.,REPUESTOS PARA LOS MIXER
,PRO-15,COSACOV ,"LABORATORIO: EQUIPOS, CONSUMIBLES Y CALIBRACION DE PRENSA"
,PRO-16,ROMAN FERRETERIA,INSUMOS EN GENERAL
,PRO-17,LOOP,PROGRAMA DE LOGISTICA DE HORMIGON ELABORADO
,PRO-18,AGUAS DE FORMOSA S.A,AGUA 
,PRO-19,Recursos y Energía Formosa S.A. (REFSA),ELECTRICIDAD
,PRO-20,SERVICIO TECNICO Y REPUESTOS (D.A.N.) ,MANTENIMIENTO DE EQUIPOS
,PRO-21,CHACO SERVICIOS ,MANTENIMIENTO DE EQUIPOS
,PRO-22,Servicios Electromecánicos Industriales (S.E.I),MANTENIMIENTO DE EQUIPOS E INSTALACIONES
,PRO-23,NUEVA IMAGEN,FOTOCOPIA-ARTICULOS DE LIBRERÍA
,PRO-24,CASA MIA,ARTICULOS DE LIBRERÍA
,PRO-25,SOLMAX ,LABORATORIO
,PRO-26,LABORATORIOS MOTTER,LABORATORIO
,PRO-27,BALANZAS MISIONERAS,Calibracion/Verificacion de equipos 
,PRO-28,FIREMAN RECARGAS,PROVISION DE ELEMENTOS CONTRA INCENDIO 
,PRO-29,ING. RICARDO VELAZCO - LIC. MARISA CASTRO,ASESORIA
,PRO-30,MIGUEL CANAVESIO,SISTEMAS
,PRO-31,GAYOSO,LIBRERÍA
,PRO-32,CAPÍTULO,LIBRERÍA
,PRO-33,ABH ,ACCESORIOS PARA BOMBAS DE H°
